
MP7: 
| ImageID | Keypoints | Detector |
| 2 | AKAZE | 75.3119 | 40.3919 |
| 3 | AKAZE | 71.4633 | 41.6375 |
| 4 | AKAZE | 70.1568 | 41.5666 |
| 5 | AKAZE | 73.8043 | 41.6115 |
| 6 | AKAZE | 73.127 | 41.3238 |
| 7 | AKAZE | 77.5902 | 40.741 |
| 8 | AKAZE | 73.9969 | 40.5743 |
| 9 | AKAZE | 69.1799 | 40.0952 |
| 0 | BRISK | 42.188 | 44.4376 |
| 1 | BRISK | 41.1912 | 41.6513 |
| 2 | BRISK | 41.0192 | 40.3241 |
| 3 | BRISK | 40.8008 | 40.9284 |
| 4 | BRISK | 40.7391 | 41.2425 |
| 5 | BRISK | 40.5211 | 40.1506 |
| 6 | BRISK | 40.6852 | 41.347 |
| 7 | BRISK | 39.4025 | 41.1602 |
| 8 | BRISK | 39.506 | 40.154 |
| 9 | BRISK | 40.5987 | 41.2467 |
| 0 | FAST | 0.43956 | 38.9567 |
| 1 | FAST | 0.39996 | 38.3978 |
| 2 | FAST | 0.384247 | 39.046 |
| 3 | FAST | 0.434298 | 38.229 |
| 4 | FAST | 0.444411 | 39.3082 |
| 5 | FAST | 0.356109 | 38.0001 |
| 6 | FAST | 0.32358 | 39.0006 |
| 7 | FAST | 0.322438 | 39.4682 |
| 8 | FAST | 0.35855 | 39.4916 |
| 9 | FAST | 0.377278 | 39.6144 |
| 0 | HARRIS | 10.948 | 38.3817 |
| 1 | HARRIS | 10.8733 | 38.7823 |
| 2 | HARRIS | 10.7591 | 39.3887 |
| 3 | HARRIS | 10.9064 | 39.2968 |
| 4 | HARRIS | 10.9803 | 38.6485 |
| 5 | HARRIS | 10.028 | 39.102 |
| 6 | HARRIS | 11.066 | 39.226 |
| 7 | HARRIS | 11.5393 | 40.4412 |
| 8 | HARRIS | 10.185 | 40.4916 |
| 9 | HARRIS | 11.2694 | 38.6824 |
| 0 | ORB | 7.96271 | 38.7347 |
| 1 | ORB | 7.1353 | 38.5923 |
| 2 | ORB | 7.42564 | 39.5287 |
| 3 | ORB | 7.13668 | 38.986 |
| 4 | ORB | 7.23285 | 38.8621 |
